epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,9427.73,0.45034,0.87184,0.3583,0.87226,0.99105,0.9932,0.99493,0.95943,0.99707,0.98883,0.99459,0.88306,0.3142,0.69878,0.25602,0.79071,0.000894213,0.000894213,0.000894213
108,9543.75,0.45177,0.95455,0.3752,0.87689,0.99492,0.99441,0.99488,0.95078,0.99492,0.99441,0.99488,0.89622,0.3179,0.62874,0.26075,0.79587,0.000892283,0.000892283,0.000892283
109,9609.61,0.43836,0.88792,0.35145,0.86489,0.98946,0.99262,0.99468,0.95508,0.98946,0.99262,0.9948,0.88132,0.3177,0.71924,0.25871,0.79357,0.000890339,0.000890339,0.000890339
110,9686.6,0.46363,0.89539,0.36572,0.87872,0.99241,0.99529,0.99468,0.95741,0.99241,0.99529,0.99468,0.87991,0.31283,0.71661,0.2402,0.78623,0.000888379,0.000888379,0.000888379
111,9797.34,0.44096,0.87367,0.34495,0.87382,0.99838,0.99157,0.99488,0.95025,0.99838,0.99157,0.99488,0.88966,0.32888,0.66453,0.25469,0.79514,0.000886404,0.000886404,0.000886404
112,9848.36,0.46057,0.89784,0.36696,0.86839,0.99651,0.99523,0.99484,0.9509,0.99651,0.99523,0.99484,0.88189,0.32077,0.718,0.2519,0.79312,0.000884414,0.000884414,0.000884414
113,9943.99,0.44776,0.87051,0.34715,0.87289,0.99856,0.99178,0.99458,0.95462,0.99856,0.99178,0.9946,0.88212,0.32135,0.70447,0.24808,0.79216,0.000882409,0.000882409,0.000882409
114,10075.2,0.45338,0.86918,0.34734,0.87858,0.99517,0.99308,0.99485,0.95524,0.99517,0.99308,0.99485,0.87643,0.31479,0.733,0.25057,0.79026,0.000880389,0.000880389,0.000880389
115,10166.9,0.43862,0.86567,0.34842,0.87295,0.99422,0.99621,0.995,0.9573,0.99422,0.99621,0.995,0.88358,0.30876,0.71007,0.24401,0.78937,0.000878354,0.000878354,0.000878354
116,10263.6,0.42203,0.84064,0.32895,0.86444,0.99693,0.9945,0.99498,0.95907,0.99693,0.9945,0.99498,0.89061,0.3106,0.65972,0.24332,0.79233,0.000876305,0.000876305,0.000876305
117,10343.8,0.45257,0.90101,0.35477,0.87866,0.99226,0.99231,0.99354,0.94821,0.99226,0.99231,0.99354,0.87051,0.32659,0.77216,0.25051,0.79014,0.000874241,0.000874241,0.000874241
118,10440.4,0.43062,0.90998,0.33856,0.8643,0.99621,0.99655,0.99489,0.95809,0.99621,0.99655,0.99489,0.88383,0.30464,0.70536,0.23643,0.78142,0.000872162,0.000872162,0.000872162
119,10531.9,0.44326,0.88308,0.34588,0.86216,0.9969,0.9904,0.99487,0.95373,0.9969,0.9904,0.99487,0.8876,0.31392,0.66318,0.23606,0.78239,0.000870069,0.000870069,0.000870069
120,10612,0.44344,0.86164,0.34106,0.85809,0.9984,0.99629,0.99497,0.95493,0.9984,0.99629,0.99497,0.89257,0.30856,0.65179,0.23973,0.78496,0.000867961,0.000867961,0.000867961
121,10705.3,0.44873,0.87078,0.34278,0.86818,0.99663,0.99077,0.99472,0.95845,0.99483,0.98909,0.99251,0.87788,0.30947,0.73489,0.23445,0.7835,0.000865839,0.000865839,0.000865839
122,10796.1,0.4154,0.86589,0.31712,0.86316,0.99144,0.99605,0.9949,0.96405,0.98996,0.99483,0.99497,0.88939,0.30017,0.67676,0.2446,0.78639,0.000863703,0.000863703,0.000863703
123,10835,0.45687,0.89944,0.35672,0.85848,0.99645,0.99458,0.99455,0.96243,0.99473,0.99286,0.99442,0.8843,0.30492,0.69761,0.24915,0.79413,0.000861553,0.000861553,0.000861553
124,10946.5,0.44473,0.87348,0.33483,0.87178,0.99442,0.99779,0.99491,0.95695,0.99442,0.99779,0.99491,0.8933,0.31834,0.66183,0.24026,0.78622,0.000859389,0.000859389,0.000859389
125,11036.1,0.44859,0.85832,0.3469,0.87327,0.98781,0.99604,0.99482,0.96193,0.98953,0.99776,0.99483,0.88912,0.29992,0.70111,0.24547,0.78797,0.00085721,0.00085721,0.00085721
126,11094.7,0.45609,0.83972,0.35797,0.86413,0.99847,0.99641,0.995,0.96087,0.99847,0.99641,0.995,0.88925,0.30686,0.67897,0.24884,0.78957,0.000855018,0.000855018,0.000855018
